"child_code","child_description","child_identifier","parent_code","parent_description","parent_identifier"
"GF01","General Public Services","services","T","Central Government Expenditure","central"
"GF02","Defence","defence","T","Central Government Expenditure","central"
"GF03","General Public Order & Safety","order & safety","T","Central Government Expenditure","central"
"GF04","Economic Affairs","economic affairs","T","Central Government Expenditure","central"
"GF05","Environmental Protection","environment","T","Central Government Expenditure","central"
"GF06","Housing & Community Development","housing","T","Central Government Expenditure","central"
"GF07","Health","health","T","Central Government Expenditure","central"
"GF08","Recreation","recreation","T","Central Government Expenditure","central"
"GF09","Education","education","T","Central Government Expenditure","central"
"GF10","Social Protection","social protection","T","Central Government Expenditure","central"
"GF0101","Executive & Legal, Financial & Fiscal Affairs, External Affairs","GF0101","GF01","General Public Services","services"
"GF0102","Foreign Economic Aid","GF0102","GF01","General Public Services","services"
"GF0103","General Services","GF0103","GF01","General Public Services","services"
"GF0104","Basic Research","GF0104","GF01","General Public Services","services"
"GF0105","Research and Development General Public Services","GF0105","GF01","General Public Services","services"
"GF0106","General Public Services not elsewhere classified","GF0106","GF01","General Public Services","services"
"GF0107","Public Debt Transactions","GF0107","GF01","General Public Services","services"
"GF0108","Transfers between different levels of Government","GF0108","GF01","General Public Services","services"
"GF0201","Military Defence","GF0201","GF02","Defence","defence"
"GF0202","Civil Defence","GF0202","GF02","Defence","defence"
"GF0203","Foreign Military Aid","GF0203","GF02","Defence","defence"
"GF0204","Research and Development Defence","GF0204","GF02","Defence","defence"
"GF0205","Defence not elsewhere classified","GF0205","GF02","Defence","defence"
"GF0301","Police services","GF0301","GF03","General Public Order & Safety","order & safety"
"GF0302","Fire protection services","GF0302","GF03","General Public Order & Safety","order & safety"
"GF0303","Law Courts","GF0303","GF03","General Public Order & Safety","order & safety"
"GF0304","Prisons","GF0304","GF03","General Public Order & Safety","order & safety"
"GF0305","Research and Development public order and safety","GF0305","GF03","General Public Order & Safety","order & safety"
"GF0306","Public order and safety not elsewhere classified","GF0306","GF03","General Public Order & Safety","order & safety"
"GF0401","General economic, commercial and labour affairs","GF0401","GF04","Economic Affairs","economic affairs"
"GF0402","Agriculture, forestry, fishing and hunting","GF0402","GF04","Economic Affairs","economic affairs"
"GF0403","Fuel and Energy","GF0403","GF04","Economic Affairs","economic affairs"
"GF0404","Mining, manufacturing and construction","GF0404","GF04","Economic Affairs","economic affairs"
"GF0405","Transport","GF0405","GF04","Economic Affairs","economic affairs"
"GF0406","Communication","GF0406","GF04","Economic Affairs","economic affairs"
"GF0407","Other Industries","GF0407","GF04","Economic Affairs","economic affairs"
"GF0408","Research and Development Economic Affairs","GF0408","GF04","Economic Affairs","economic affairs"
"GF0409","Economic Affairs not elsewhere classified","GF0409","GF04","Economic Affairs","economic affairs"
"GF0501","Waste Management","GF0501","GF05","Environmental Protection","environment"
"GF0502","Water Waste Management","GF0502","GF05","Environmental Protection","environment"
"GF0503","Pollution Abatement","GF0503","GF05","Environmental Protection","environment"
"GF0504","Protection of biodiversity and landscape","GF0504","GF05","Environmental Protection","environment"
"GF0505","Research and Development Environmental Protection","GF0505","GF05","Environmental Protection","environment"
"GF0506","Environmental Protection Not Elsewhere Classified","GF0506","GF05","Environmental Protection","environment"
"GF0601","Housing Development","GF0601","GF06","Housing & Community Development","housing"
"GF0602","Community Development","GF0602","GF06","Housing & Community Development","housing"
"GF0603","Water Supply","GF0603","GF06","Housing & Community Development","housing"
"GF0604","Street Lighting","GF0604","GF06","Housing & Community Development","housing"
"GF0605","Research & Development Housing & Community Amenities","GF0605","GF06","Housing & Community Development","housing"
"GF0606","Housing & Community amenities not elsewhere classified","GF0606","GF06","Housing & Community Development","housing"
"GF0701","Medical Products appliances and equipment","GF0701","GF07","Health","health"
"GF0702","Outpatient Services","GF0702","GF07","Health","health"
"GF0703","Hospital Services","GF0703","GF07","Health","health"
"GF0704","Public Health Services","GF0704","GF07","Health","health"
"GF0705","Research and Development Health","GF0705","GF07","Health","health"
"GF0706","Health not elsewhere classified","GF0706","GF07","Health","health"
"GF0801","Recreational & Sporting Services","GF0801","GF08","Recreation","recreation"
"GF0802","Cultural Services","GF0802","GF08","Recreation","recreation"
"GF0803","Broadcasting & Publishing Services","GF0803","GF08","Recreation","recreation"
"GF0804","Religious & Other Community Services","GF0804","GF08","Recreation","recreation"
"GF0805","Research and Development Recreation,  Culture & Religion","GF0805","GF08","Recreation","recreation"
"GF0806","Recreation, Culture & Religion not elsewhere classified","GF0806","GF08","Recreation","recreation"
"GF0901","Pre-primary  & Primary Education","GF0901","GF09","Education","education"
"GF0902","Secondary Education","GF0902","GF09","Education","education"
"GF0903","Post-Secondary Non-Tertiary Education","GF0903","GF09","Education","education"
"GF0904","Tertiary Education","GF0904","GF09","Education","education"
"GF0905","Education not Definable by Level","GF0905","GF09","Education","education"
"GF0906","Subsidiary Services to Education","GF0906","GF09","Education","education"
"GF0907","Research and Development Education","GF0907","GF09","Education","education"
"GF0908","Education not elsewhere classified","GF0908","GF09","Education","education"
"GF1001","Sickness & Disability","GF1001","GF10","Social Protection","social protection"
"GF1002","Old Age","GF1002","GF10","Social Protection","social protection"
"GF1003","Survivors","GF1003","GF10","Social Protection","social protection"
"GF1004","Family & Children","GF1004","GF10","Social Protection","social protection"
"GF1005","Unemployment","GF1005","GF10","Social Protection","social protection"
"GF1006","Housing","GF1006","GF10","Social Protection","social protection"
"GF1007","Social Exclusion not elsewhere classified","GF1007","GF10","Social Protection","social protection"
"GF1008","Research and Development Social Protection","GF1008","GF10","Social Protection","social protection"
"GF1009","Social Protection not elsewhere classified","GF1009","GF10","Social Protection","social protection"
